timestamp,value
1983-01,2627.5
1983-02,2916
1983-03,2810
1983-04,3232.1
1983-05,2605.4
1983-06,2750.8
1983-07,2778.1
1983-08,3060.8
1983-09,4459.3
1983-10,2611.2
1983-11,2544.3
1983-12,2612.3
1984-01,2966.1
1984-02,2030.6
1984-03,2663.4
1984-04,3711.3
1984-05,2725.2
1984-06,2531.8
1984-07,2585.1
1984-08,2741.7
1984-09,3271.8
1984-10,2412.2
1984-11,2810.7
1984-12,2825.2
1985-01,2601.1
1985-02,2919.3
1985-03,3066
1985-04,4193.9
1985-05,2616.3
1985-06,3115.5
1985-07,3738.3
1985-08,2993.3
1985-09,5480.6
1985-10,2928.7
1985-11,2706.2
1985-12,3950.3
1986-01,4044.1
1986-02,3506.3
1986-03,3759.3
1986-04,4173.3
1986-05,3808.3
1986-06,3588.7
1986-07,3517.9
1986-08,3636.4
1986-09,4531.3
1986-10,4023.9
1986-11,4147.5
1986-12,5689.9
1987-01,5101.3
1987-02,4135.5
1987-03,4639.4
1987-04,6571.3
1987-05,4521.9
1987-06,5065.2
1987-07,4540.9
1987-08,4183.3
1987-09,4902.2
1987-10,5279.8
1987-11,4617.7
1987-12,4836.8
1988-01,4628.4
1988-02,4295.4
1988-03,4215
1988-04,5848.1
1988-05,4235.4
1988-06,4617.6
1988-07,4446.4
1988-08,4288.1
1988-09,5275.7
1988-10,4654.7
1988-11,4585.9
1988-12,4889.8
1989-01,4824.5
1989-02,4412.6
1989-03,4258.7
1989-04,6175.3
1989-05,3979.4
1989-06,5003.8
1989-07,4025.8
1989-08,3911.4
1989-09,4634.8
1989-10,4601.8
1989-11,4339.5
1989-12,4643
1990-01,4323
1990-02,4114.3
1990-03,4156.5
1990-04,4203.6
1990-05,3913.2
1990-06,4242.9
1990-07,4154.6
1990-08,4060
1990-09,4220.6
1990-10,4422.6
1990-11,4333.1
1990-12,4822.8
1991-01,4816.5
1991-02,4650.5
1991-03,3540.5
1991-04,3633
1991-05,3326.3
1991-06,3446
1991-07,3422.8
1991-08,3120
1991-09,3600
1991-10,4406.1
1991-11,3412.9
1991-12,4978.3
1992-01,4059.5
1992-02,3665.9
1992-03,3695.2
1992-04,3296
1992-05,2952.7
1992-06,3683.9
1992-07,4027
1992-08,3620.6
1992-09,5309.4
1992-10,3448.4
1992-11,3784.1
1992-12,4014.8
1993-01,3763.2
1993-02,3903.4
1993-03,4191.7
1993-04,3836.5
1993-05,3727.9
1993-06,5669.3
1993-07,3706.2
1993-08,4036.8
1993-09,4803
1993-10,3916.9
1993-11,4327.7
1993-12,5054.3
1994-01,5228.5
1994-02,4124.4
