timestamp,value
1981-12,4815
1982-01,4820
1982-02,4835
1982-03,5020
1982-04,5020
1982-05,5030
1982-06,5060
1982-07,5060
1982-08,5090
1982-09,5095
1982-10,5095
1982-11,5065
1982-12,5055
1983-01,5045
1983-02,5045
1983-03,5100
1983-04,5100
1983-05,5095
1983-06,5160
1983-07,5210
1983-08,5250
1983-09,5250
1983-10,5255
1983-11,5135
1983-12,5220
1984-01,5245
1984-02,5245
1984-03,5365
1984-04,5365
1984-05,5365
1984-06,5210
1984-07,5210
1984-08,5190
1984-09,5180
1984-10,5180
1984-11,5245
1984-12,5245
1985-01,5305
1985-02,5195
1985-03,5235
1985-04,5350
1985-05,5310
1985-06,5245
1985-07,5345
1985-08,5375
1985-09,5375
1985-10,5375
1985-11,5375
1985-12,5375
1986-01,5390
1986-02,5365
1986-03,5365
1986-04,5325
1986-05,5160
1986-06,5315
1986-07,5310
1986-08,5335
1986-09,5335
1986-10,5340
1986-11,5340
1986-12,5335
1987-01,5115
1987-02,5335
1987-03,5255
1987-04,5350
1987-05,4750
1987-06,5225
1987-07,5295
1987-08,5295
1987-09,5290
1987-10,5330
1987-11,5360
1987-12,5370
1988-01,5370
1988-02,5360
1988-03,5360
1988-04,5365
1988-05,5360
1988-06,5360
1988-07,5365
1988-08,5385
1988-09,5295
1988-10,5420
1988-11,5470
1988-12,5475
1989-01,5500
1989-02,5500
1989-03,5490
1989-04,5495
1989-05,5515
1989-06,5465
1989-07,5455
1989-08,5500
1989-09,5460
1989-10,5545
1989-11,5625
1989-12,5715
1990-01,5715
1990-02,5715
1990-03,5710
1990-04,5715
1990-05,5715
1990-06,5670
1990-07,5660
1990-08,5695
1990-09,5695
1990-10,5545
1990-11,5535
1990-12,5535
1991-01,5535
1991-02,5670
1991-03,5680
1991-04,5780
1991-05,5845
1991-06,5840
1991-07,5840
1991-08,5840
1991-09,5845
1991-10,5845
1991-11,5845
1991-12,5855
1992-01,5995
1992-02,5995
1992-03,5985
1992-04,6020
1992-05,6075
1992-06,6075
1992-07,6075
1992-08,6145
1992-09,6145
1992-10,6175
1992-11,6175
1992-12,6175
1993-01,6195
1993-02,6195
1993-03,6200
1993-04,6115
1993-05,6115
1993-06,6195
1993-07,6210
1993-08,6210
1993-09,6210
1993-10,6210
1993-11,6215
