timestamp,Asset_ID,Count,Open,High,Low,Close,Volume,VWAP,Target
22-09-2013 09:10,2,40,2376.58,2399.5,2357.14,2374.59,19.23300519,2373.116392,2373.116392
22-09-2013 09:11,0,5,8.53,8.53,8.53,8.53,78.38,8.53,8.53
22-09-2013 09:12,1,229,13835.194,14013.8,13666.11,13850.176,31.55006152,13827.06209,13827.06209
22-09-2013 09:13,5,32,7.6596,7.6596,7.6567,7.6576,6626.71337,7.657712894,7.657712894
22-09-2013 09:14,7,5,25.92,25.92,25.874,25.877,121.08731,25.89136301,25.89136301
22-09-2013 09:15,6,173,738.3025,746,732.51,738.5075,335.9878562,738.8392915,738.8392915
22-09-2013 09:16,9,167,225.33,227.78,222.98,225.2066667,411.8966423,225.1979436,225.1979436
22-09-2013 09:17,11,7,329.09,329.88,329.09,329.46,6.63571014,329.4541176,329.4541176
22-09-2013 09:18,2,53,2374.553333,2400.9,2354.2,2372.286667,24.05025946,2371.434498,2371.434498
22-09-2013 09:19,0,7,8.53,8.53,8.5145,8.5145,71.39,8.520214652,8.520214652
22-09-2013 09:20,1,235,13835.036,14052.3,13680,13828.102,31.04643211,13840.36259,13840.36259
22-09-2013 09:21,5,10,7.6568,7.6569,7.6567,7.6567,3277.475494,7.656748806,7.656748806
22-09-2013 09:22,7,1,25.897,25.897,25.897,25.897,1.468019,25.897,25.897
22-09-2013 09:23,6,192,738.5075,745.14,732.49,738.26,232.7931411,738.2689674,738.2689674
22-09-2013 09:24,9,212,225.1333333,227.38,222.45,224.8566667,3640.502706,224.4466253,224.4466253
22-09-2013 09:25,11,1,329.45,329.45,329.45,329.45,0.34941958,329.45,329.45
22-09-2013 09:26,2,61,2371.633333,2401.9,2353.7,2372.063333,42.67643847,2375.442755,2375.442755
22-09-2013 09:27,0,45,8.5065,8.5299,8.4848,8.4848,1546.82,8.501393628,8.501393628
22-09-2013 09:28,1,528,13823.9,14000.4,13601,13801.314,55.06182014,13806.06801,13806.06801
22-09-2013 09:29,5,22,7.6569,7.6569,7.65,7.6512,5623.557585,7.654266976,7.654266976
22-09-2013 09:30,7,11,26.4695,27.072,25.869,26.4695,76.16392164,26.46951262,26.46951262
22-09-2013 09:31,6,120,738.3325,745.12,730,737.5025,174.1380312,737.9944574,737.9944574
22-09-2013 09:32,9,102,226.262,229.16,222.44,226,328.3502857,225.9804335,225.9804335
22-09-2013 09:33,11,3,329.27,329.27,329.19,329.19,1.18955308,329.1989789,329.1989789
22-09-2013 09:34,2,95,2376.06,2406.4,2344,2370.566667,37.82091756,2371.096152,2371.096152
22-09-2013 09:35,0,14,8.5009,8.5066,8.4744,8.5009,125.8,8.479810016,8.479810016
22-09-2013 09:36,1,435,13802.512,13999,13576.28,13768.04,38.78052949,13783.5981,13783.5981
22-09-2013 09:37,5,12,7.65,7.6503,7.6358,7.6358,1696.632459,7.649659579,7.649659579
22-09-2013 09:38,7,16,26.459,27.07,25.829,26.4495,408.7748482,26.45673524,26.45673524
22-09-2013 09:39,6,156,737.2225,744.69,728.93,737.1025,165.3839256,737.3036311,737.3036311
22-09-2013 09:40,9,138,225.08,226.72,221,224.275,507.4055793,224.5523413,224.5523413
22-09-2013 09:41,11,2,328.16,328.16,328.16,328.16,1.512079,328.16,328.16
22-09-2013 09:42,2,33,2372.656667,2404.6,2343.4,2370.173333,8.51967897,2370.34573,2370.34573
22-09-2013 09:43,0,5,8.5007,8.5007,8.456,8.456,125.01,8.458435005,8.458435005
22-09-2013 09:44,1,742,13766,13955.9,13554.44,13724.914,108.5016369,13735.58684,13735.58684
22-09-2013 09:45,5,19,7.6358,7.6358,7.61,7.61,2268.362218,7.6280755,7.6280755
