,Timestamp,Value
0,1976-12-31,2197.0
1,1977-12-31,2394.0
2,1978-12-31,7308.0
3,1979-12-31,22583.0
4,1980-12-31,53193.0
5,1981-12-31,88205.0
6,1982-12-31,109607.0
7,1983-12-31,157296.0
8,1984-12-31,171519.0
9,1985-12-31,201616.0
10,1986-12-31,244195.0
11,1987-12-31,276386.0
12,1988-12-31,310198.0
13,1989-12-31,340657.0
14,1990-12-31,351933.0
15,1991-12-31,373037.0
16,1992-12-31,437702.0
17,1993-12-31,545312.0
18,1994-12-31,641389.0
19,1995-12-31,789188.0
20,1996-12-31,931918.0
21,1997-12-31,907996.0
22,1998-12-31,968054.0
23,1999-12-31,1064530.0
24,2000-12-31,1194120.0
25,2001-12-31,1334710.0
26,2002-12-31,1425000.0
27,2003-12-31,1711840.0
28,2004-12-31,1820390.0
29,2005-12-31,2127440.0
30,2006-12-31,2370370.0
31,2007-12-31,2836800.0
32,2008-12-31,2938130.0
33,2009-12-31,3597020.0
