,Timestamp,Value
0,1980-03-31,3135.2
1,1980-06-30,3197.83
2,1980-09-30,3203.38
3,1980-12-31,3352.42
4,1981-03-31,3436.74
5,1981-06-30,3621.86
6,1981-09-30,3753.27
7,1981-12-31,3684.62
8,1982-03-31,3700.56
9,1982-06-30,3649.63
10,1982-09-30,3681.07
11,1982-12-31,3614.62
12,1983-03-31,3675.24
13,1983-06-30,3723.77
14,1983-09-30,3888.71
15,1983-12-31,4036.39
16,1984-03-31,4214.67
17,1984-06-30,4349.86
18,1984-09-30,4440.66
19,1984-12-31,4590.64
20,1985-03-31,4555.98
21,1985-06-30,4743.28
22,1985-09-30,4620.2
23,1985-12-31,4647.73
24,1986-03-31,4379.91
25,1986-06-30,4486.01
26,1986-09-30,4391.58
27,1986-12-31,4412.14
28,1987-03-31,4360.31
29,1987-06-30,4373.84
30,1987-09-30,4447.71
31,1987-12-31,4503.45
32,1988-03-31,4536.78
33,1988-06-30,4589.76
34,1988-09-30,4890.04
35,1988-12-31,4904.56
36,1989-03-31,5039.08
37,1989-06-30,5128.24
38,1989-09-30,5242.82
39,1989-12-31,5228.63
40,1990-03-31,5433.68
41,1990-06-30,5510.21
42,1990-09-30,5509.43
43,1990-12-31,5690.17
44,1991-03-31,5730.55
45,1991-06-30,5635.32
46,1991-09-30,5843.91
47,1991-12-31,5999.55
48,1992-03-31,6060.5
49,1992-06-30,5981.72
50,1992-09-30,6102.81
51,1992-12-31,6205.33
