,Timestamp,Value
0,1975-09-30,175.24
1,1975-10-31,176.46
2,1975-11-30,182.81
3,1975-12-31,191.28
4,1976-01-31,184.89
5,1976-02-29,179.72
6,1976-03-31,185.95
7,1976-04-30,186.5
8,1976-05-31,179.96
9,1976-06-30,174.8
10,1976-07-31,173.01
11,1976-08-31,170.18
12,1976-09-30,169.84
13,1976-10-31,169.0
14,1976-11-30,170.87
15,1976-12-31,166.1
16,1977-01-31,163.23
17,1977-02-28,166.14
18,1977-03-31,175.49
19,1977-04-30,151.13
20,1977-05-31,138.89
21,1977-06-30,147.53
22,1977-07-31,163.61
23,1977-08-31,164.7
24,1977-09-30,164.42
25,1977-10-31,171.96
26,1977-11-30,174.24
27,1977-12-31,176.12
28,1978-01-31,154.72
29,1978-02-28,177.04
30,1978-03-31,177.93
31,1978-04-30,170.57
32,1978-05-31,165.77
33,1978-06-30,154.88
34,1978-07-31,170.6
35,1978-08-31,156.64
36,1978-09-30,156.68
37,1978-10-31,160.65
38,1978-11-30,157.2
39,1978-12-31,169.03
40,1979-01-31,153.18
41,1979-02-28,157.84
42,1979-03-31,158.54
43,1979-04-30,153.88
44,1979-05-31,152.17
45,1979-06-30,152.3
46,1979-07-31,151.1
47,1979-08-31,153.43
48,1979-09-30,152.24
49,1979-10-31,149.71
50,1979-11-30,154.87
51,1979-12-31,156.14
52,1980-01-31,155.72
53,1980-02-29,155.8
54,1980-03-31,158.63
55,1980-04-30,156.09
56,1980-05-31,154.47
57,1980-06-30,158.13
58,1980-07-31,146.23
59,1980-08-31,146.65
60,1980-09-30,150.29
61,1980-10-31,142.05
62,1980-11-30,162.13
63,1980-12-31,170.38
64,1981-01-31,161.3
65,1981-02-28,162.76
66,1981-03-31,162.1
67,1981-04-30,166.29
68,1981-05-31,158.89
69,1981-06-30,151.06
70,1981-07-31,152.06
71,1981-08-31,160.94
72,1981-09-30,159.07
73,1981-10-31,158.67
74,1981-11-30,151.74
75,1981-12-31,145.43
76,1982-01-31,154.62
77,1982-02-28,152.34
78,1982-03-31,141.46
79,1982-04-30,138.16
80,1982-05-31,134.26
81,1982-06-30,142.14
82,1982-07-31,144.31
83,1982-08-31,142.78
84,1982-09-30,142.53
85,1982-10-31,140.48
86,1982-11-30,143.77
87,1982-12-31,145.78
88,1983-01-31,148.75
89,1983-02-28,141.23
90,1983-03-31,148.52
91,1983-04-30,156.4
92,1983-05-31,145.71
93,1983-06-30,146.54
94,1983-07-31,145.38
95,1983-08-31,144.78
