,Timestamp,Value
0,1980-03-31,4476.0
1,1980-06-30,4435.5
2,1980-09-30,4565.0
3,1980-12-31,4561.0
4,1981-03-31,4434.0
5,1981-06-30,4379.5
6,1981-09-30,4383.0
7,1981-12-31,4164.5
8,1982-03-31,4275.5
9,1982-06-30,4342.0
10,1982-09-30,4298.5
11,1982-12-31,4352.5
12,1983-03-31,4378.5
13,1983-06-30,4261.5
14,1983-09-30,4440.5
15,1983-12-31,4516.5
16,1984-03-31,4591.0
17,1984-06-30,4695.0
18,1984-09-30,4627.0
19,1984-12-31,4899.0
20,1985-03-31,5021.0
21,1985-06-30,5071.5
22,1985-09-30,4976.5
23,1985-12-31,4931.0
24,1986-03-31,4887.0
25,1986-06-30,5072.0
26,1986-09-30,5101.5
27,1986-12-31,5140.5
28,1987-03-31,5262.5
29,1987-06-30,5374.0
30,1987-09-30,5552.0
31,1987-12-31,5602.5
32,1988-03-31,5659.5
33,1988-06-30,5668.0
34,1988-09-30,5805.0
35,1988-12-31,5957.0
36,1989-03-31,6192.0
37,1989-06-30,6512.5
38,1989-09-30,6309.0
39,1989-12-31,6777.0
40,1990-03-31,6413.5
41,1990-06-30,6552.5
42,1990-09-30,6563.5
43,1990-12-31,6437.5
44,1991-03-31,6189.0
45,1991-06-30,5862.0
46,1991-09-30,5819.5
47,1991-12-31,5754.0
48,1992-03-31,5560.5
49,1992-06-30,5386.5
50,1992-09-30,5132.0
51,1992-12-31,4951.0
