,Timestamp,Value
0,1970-12-31,4183.0
1,1971-12-31,4292.0
2,1972-12-31,4364.0
3,1973-12-31,4406.0
4,1974-12-31,4422.0
5,1975-12-31,4440.0
6,1976-12-31,4464.0
7,1977-12-31,4495.0
8,1978-12-31,4518.0
9,1979-12-31,4532.0
10,1980-12-31,4547.0
11,1981-12-31,4558.0
12,1982-12-31,4549.0
13,1983-12-31,4527.0
14,1984-12-31,4502.0
15,1985-12-31,4481.0
16,1986-12-31,4451.0
17,1987-12-31,4425.0
18,1988-12-31,4398.0
19,1989-12-31,4383.0
20,1990-12-31,4369.0
21,1991-12-31,4358.0
22,1992-12-31,4362.0
23,1993-12-31,4395.0
24,1994-12-31,4436.0
25,1995-12-31,4471.0
